date,country,fuel_type,price_eur_per_litre
2005-02-07,SE,petrol_95,1.11879
2005-02-07,SI,diesel,0.84136
2005-02-07,SI,fuel_oil,0.26709
2005-02-07,SI,lpg,0.54401
2005-02-07,SI,petrol_95,0.85513
2005-02-07,SK,diesel,0.88416
2005-02-07,SK,fuel_oil,0.19701
2005-02-07,SK,lpg,0.51852
2005-02-07,SK,petrol_95,0.89046
2005-02-07,UK,diesel,1.22724
2005-02-07,UK,fuel_oil,0.24980000000000002
2005-02-07,UK,petrol_95,1.1627100000000001
2005-02-14,AT,diesel,0.84
2005-02-14,AT,fuel_oil,0.22169999999999998
2005-02-14,AT,heating_oil,0.5101100000000001
2005-02-14,AT,petrol_95,0.921
2005-02-14,BE,diesel,0.861
2005-02-14,BE,fuel_oil,0.16102
2005-02-14,BE,lpg,0.389
2005-02-14,BE,petrol_95,1.103
2005-02-14,CY,diesel,0.74279
2005-02-14,CY,petrol_95,0.7789400000000001
2005-02-14,CZ,diesel,0.81283
2005-02-14,CZ,fuel_oil,0.17483
2005-02-14,CZ,lpg,0.48036
2005-02-14,CZ,petrol_95,0.8129
2005-02-14,DE,diesel,0.9408
2005-02-14,DE,fuel_oil,0.1771
2005-02-14,DE,lpg,0.5229
2005-02-14,DE,petrol_95,1.1103
2005-02-14,DK,diesel,0.92022
2005-02-14,DK,fuel_oil,0.53373
2005-02-14,DK,petrol_95,1.11501
2005-02-14,EE,diesel,0.72284
2005-02-14,EE,fuel_oil,0.11325
2005-02-14,EE,lpg,0.43460000000000004
2005-02-14,EE,petrol_95,0.70239
2005-02-14,ES,diesel,0.8164
2005-02-14,ES,fuel_oil,0.22300999999999999
2005-02-14,ES,lpg,0.53
2005-02-14,ES,petrol_95,0.8835700000000001
2005-02-14,EU,diesel,0.933530446019535
2005-02-14,EU,fuel_oil,0.2655494581871246
2005-02-14,EU,lpg,0.4894788889494255
2005-02-14,EU,petrol_95,1.0711150594207033
2005-02-14,EUR,diesel,0.9084949953878936
2005-02-14,EUR,fuel_oil,0.22496088330239367
2005-02-14,EUR,lpg,0.5322609437010545
2005-02-14,EUR,petrol_95,1.0703605178207753
2005-02-14,FI,diesel,0.8899400000000001
2005-02-14,FI,fuel_oil,0.29292
2005-02-14,FI,petrol_95,1.10086
2005-02-14,FR,diesel,0.92889
2005-02-14,FR,fuel_oil,0.20021
2005-02-14,FR,lpg,0.61603
2005-02-14,FR,petrol_95,1.0825
2005-02-14,GR,diesel,0.784
2005-02-14,GR,fuel_oil,0.2358
2005-02-14,GR,petrol_95,0.805
2005-02-14,HU,diesel,0.9454
2005-02-14,HU,fuel_oil,0.21661000000000002
2005-02-14,HU,lpg,0.59605
2005-02-14,HU,petrol_95,0.98679
2005-02-14,IE,diesel,0.949
2005-02-14,IE,fuel_oil,0.27545
2005-02-14,IE,petrol_95,0.941
2005-02-14,IT,diesel,1.0224600000000001
2005-02-14,IT,fuel_oil,0.24686000000000002
2005-02-14,IT,lpg,0.55188
2005-02-14,IT,petrol_95,1.13588
2005-02-14,LT,diesel,0.72958
2005-02-14,LT,fuel_oil,0.22416999999999998
2005-02-14,LT,lpg,0.43133
2005-02-14,LT,petrol_95,0.74439
